run,error_noisy,error_ekf,mae_noisy,mae_ekf,rmse_noisy,rmse_ekf,std_noisy,std_ekf,improvement,distance_gt,distance_noisy,distance_ekf
run1,1.0611345797158498,0.09471519607967072,0.600121170323059,0.13199517218076479,0.6900249782948031,0.14022401221702938,0.3405716541358449,0.04732914665628215,78.00524648885346,8.884344539000304,10.512227994969507,10.386957492677269
run2,1.5331600224089337,0.0875404432801013,0.4831227657356793,0.12816134016452715,0.6085478801485195,0.13781454464759776,0.37003096581389616,0.050670697682754264,73.47230367640233,8.932022774785338,10.731850586044635,10.614397480994901
run3,0.36719902736371546,0.12123828345407967,0.3656900972764723,0.1335158960957235,0.39596858924631884,0.1442333152902665,0.15186137238825484,0.05455964377978827,63.48933233628647,8.934266842223938,10.854755583602683,10.460484972267889
run4,0.6108314826666332,0.10210403105153742,0.312248737684777,0.1387711793106735,0.3806176706367681,0.14811527469895047,0.21764773606730356,0.05177542266240287,55.557489090390966,9.162880738767827,10.660618083804275,10.347298866422861
run5,1.1066520214458897,0.11571692056418643,0.39847015074681524,0.1343687347830084,0.5112007004047333,0.14503503818060678,0.3202306903750797,0.05459125765966215,66.2788455970482,8.970880523358002,10.451653943435947,10.307038722306947
run6,0.8733913257028013,0.11932265317462966,0.5359363463490693,0.1338500930139418,0.6009152439477702,0.14286841012590878,0.27179286795429064,0.04995533216848828,75.02500177012406,9.12816057681251,10.418312282915563,10.39390167650635
run7,0.45969190942508925,0.1224395677761801,0.2818987720859454,0.1313316890550683,0.3397665524963231,0.14106898288404834,0.18966916589596966,0.051501896876549894,53.411755544991216,9.117057236754997,10.58666854084544,10.16799868782865
run8,0.6767738039119118,0.10777736205706737,0.5325325927195973,0.1373783472869208,0.5932274600028384,0.14724318405802025,0.26139597738443254,0.05298815856640242,74.20282830289474,9.00109533734955,10.471999216821557,10.403988678908558
run9,1.2608441441202076,0.10695528001435475,0.26674500162416404,0.15640132330874204,0.41060609105709556,0.17625921947237283,0.31216096187978504,0.08127692486975893,41.366727640090154,11.026451733289884,12.329462850142662,12.404845387034856
run10,0.393972259308747,0.13636527107405658,0.17938517658604988,0.13965105408656553,0.2106457166649016,0.15145601235822237,0.1104199998662457,0.058621726108714675,22.150170518924767,9.089432385580679,10.526778985689559,10.035136910731413
